KOD;NAZEV;OBEC_KOD;PLATI_OD;PLATI_DO;DATUM_VZNIKU
600016;Abertamy;554979;01.07.2011 00:00:00;;
600041;Adamov;581291;01.07.2011 00:00:00;;
663409;Adamov u Karlovic;597481;01.07.2011 00:00:00;;
771473;Adamov u Tupadel;531367;01.07.2011 00:00:00;;
600032;Adamov u »esk˝ch BudÏjovic;535826;01.07.2011 00:00:00;;
601756;Adolfovice;523917;01.07.2011 00:00:00;;
691003;AhnÌkov;563200;01.07.2011 00:00:00;;
702919;Alberovice;530093;01.07.2011 00:00:00;;
600075;Albe¯;546798;01.07.2011 00:00:00;;
917923;Albe¯ice u HradiötÏ;555177;31.05.2013 00:00:00;;
600083;Albrechtice;551015;01.07.2011 00:00:00;;
600172;Albrechtice nad OrlicÌ;576077;01.07.2011 00:00:00;;
600229;Albrechtice nad Vltavou;549258;01.07.2011 00:00:00;;
625981;Albrechtice u Fr˝dlantu;564028;01.07.2011 00:00:00;;
600113;Albrechtice u Lanökrouna;547981;01.07.2011 00:00:00;;
600091;Albrechtice u Mostu;567175;01.07.2011 00:00:00;;
742406;Albrechtice u Rozsoch;596647;01.07.2011 00:00:00;;
614980;Albrechtice u R˝ma¯ova;597228;01.07.2011 00:00:00;;
759694;Albrechtice u Suöice;557153;01.07.2011 00:00:00;;
600121;Albrechtice u »eskÈho TÏöÌna;598925;01.07.2011 00:00:00;;
600288;Albrechtice v Jizersk˝ch hor·ch;563528;01.07.2011 00:00:00;;
600300;AlbrechtiËky;568741;01.07.2011 00:00:00;;
789101;Albrechtovice;550680;01.07.2011 00:00:00;;
655821;Alexovice;583120;01.07.2011 00:00:00;;
774707;Alojzov u ProstÏjova;506761;01.07.2011 00:00:00;;
719072;Alöovice;563749;01.07.2011 00:00:00;;
796077;AlûbÏtÌn;557528;01.07.2011 00:00:00;;
600326;AndÏlka;564494;01.07.2011 00:00:00;;
600369;AndÏlsk· Hora;538001;01.07.2011 00:00:00;;
653811;AndÏlsk· Hora u Chrastavy;564117;01.07.2011 00:00:00;;
760412;AndÏlsk· Hora ve Slezsku;551929;01.07.2011 00:00:00;;
600377;Anensk· Stud·nka;573426;01.07.2011 00:00:00;;
661511;AntonÌnov;563633;01.07.2011 00:00:00;;
757900;AntonÌn˘v D˘l;586846;01.07.2011 00:00:00;;
600393;Antoöovice;554821;01.07.2011 00:00:00;;
600407;Archlebov;586030;01.07.2011 00:00:00;;
600415;Arneötovice;509388;01.07.2011 00:00:00;;
715816;Arnoldov;555428;01.07.2011 00:00:00;;
600423;Arnolec;586854;01.07.2011 00:00:00;;
600431;Arnoltice;562343;01.07.2011 00:00:00;;
616176;Arnoltice u Bulovky;563935;01.07.2011 00:00:00;;
650099;Arnoltice u HuzovÈ;597414;01.07.2011 00:00:00;;
670421;Arnoltov;560294;01.07.2011 00:00:00;;
665525;Arnoötka;550647;01.07.2011 00:00:00;;
991694;Arnoötov u »eskÈho Krumlova;545422;01.07.2011 00:00:00;;
600466;Arnoötovice;529702;01.07.2011 00:00:00;;
743381;Arnultovice;579645;01.07.2011 00:00:00;;
660329;Arnultovice u Jind¯ichova;597449;01.07.2011 00:00:00;;
688380;Arnultovice u LuËnÌho Chvojna;555223;01.07.2011 00:00:00;;
707147;Arnultovice u NovÈho Boru;561860;01.07.2011 00:00:00;;
704962;Artolec;546798;01.07.2011 00:00:00;;
600521;Aö;554499;01.07.2011 00:00:00;;
600601;Babice;538043;01.07.2011 00:00:00;;
600695;Babice nad Svitavou;582794;01.07.2011 00:00:00;;
641375;Babice u HolubËe;553689;01.07.2011 00:00:00;;
600687;Babice u KelËe;542989;01.07.2011 00:00:00;;
600636;Babice u Lesonic;590274;01.07.2011 00:00:00;;
655244;Babice u Netolic;537241;01.07.2011 00:00:00;;
709620;Babice u Okrouhlice;569186;01.07.2011 00:00:00;;
726630;Babice u Poutnova;555631;01.07.2011 00:00:00;;
600709;Babice u Rosic;582808;01.07.2011 00:00:00;;
600652;Babice u UherskÈho HradiötÏ;592013;01.07.2011 00:00:00;;
600661;Babice u äternberka;552356;01.07.2011 00:00:00;;
744930;Babice u ÿehenic;538710;01.07.2011 00:00:00;;
721506;Babina;559351;01.07.2011 00:00:00;;
641715;Babiny I;568104;01.07.2011 00:00:00;;
641693;Babiny II;567973;01.07.2011 00:00:00;;
651575;Babolky;581917;01.07.2011 00:00:00;;
600717;Babylon;553433;01.07.2011 00:00:00;;
777358;Bab·kov;572462;01.07.2011 00:00:00;;
630551;BabËice;553328;01.07.2011 00:00:00;;
765384;BabÏtÌn;555193;01.07.2011 00:00:00;;
600598;BabÌ;579025;01.07.2011 00:00:00;;
701297;BabÌ u N·choda;573868;01.07.2011 00:00:00;;
765821;BabÌn;548936;01.07.2011 00:00:00;;
641871;BabÌn u HoraûÔovic;556254;01.07.2011 00:00:00;;
748625;Bahna;581917;01.07.2011 00:00:00;;
620254;Bahno;534013;01.07.2011 00:00:00;;
603198;Bakov;532088;01.07.2011 00:00:00;;
600831;Bakov nad Jizerou;535427;01.07.2011 00:00:00;;
600849;Baliny;595217;01.07.2011 00:00:00;;
737925;Balkova Lhota;563251;01.07.2011 00:00:00;;
628336;Balkovy;556106;01.07.2011 00:00:00;;
767069;Balkov·;559482;01.07.2011 00:00:00;;
600881;Bantice;593729;01.07.2011 00:00:00;;
600857;BanÌn;572560;01.07.2011 00:00:00;;
